"go_id","pval","padj_within_ranking","log2err","ES","NES","size","leadingEdge","main_pathway","TERM","ONTOLOGY","ranking","direction","n_directional_pairs","pair_consistency","pair_median_effects","padj_global"
"GO:0006139",0.0444214876033058,0.199401317636171,0.216542836735348,0.673452483366512,1.35769028893932,28,"HOG:0032904;HOG:0027918;HOG:0005683;HOG:0011541;HOG:0025923;HOG:0025959;HOG:0026742;HOG:0003561;HOG:0032903;HOG:0006008",FALSE,"nucleobase-containing compound metabolic process","BP","root_early_to_late","annual",2,0.5,"Brachypodium=0.5593;Hordeum=-0.03145;Briza=-0.1626;Festuca/Vulpia=0.04899",0.30241289163431
"GO:0019637",0.0550599389796238,0.199847185926042,0.321775918075361,0.48923931449146,1.54389372137663,13,"HOG:0030062;HOG:0006505;HOG:0028766;HOG:0004085",FALSE,"organophosphate metabolic process","BP","leaf_mean_activity","annual",3,0.75,"Brachypodium=-0.05589;Hordeum=0.1271;Briza=0.04076;Festuca/Vulpia=0.01882",0.337242126250196
"GO:0032559",0.04989816700611,0.209744990892532,0.20207170902116,0.656385817197411,1.344954192547,33,"HOG:0028145;HOG:0025149;HOG:0023048;HOG:0011775;HOG:0011541;HOG:0025848",FALSE,"adenyl ribonucleotide binding","MF","root_early_to_late","annual",2,0.5,"Brachypodium=0.7714;Hordeum=-0.02525;Briza=-0.08323;Festuca/Vulpia=0.04512",0.319907874450387
"GO:0034654",0.0513661202185792,0.209744990892532,0.206587922696891,0.723464033771071,1.40223146150472,17,"HOG:0032904;HOG:0027918;HOG:0005683;HOG:0011541;HOG:0025923;HOG:0025959;HOG:0026742;HOG:0032903",FALSE,"nucleobase-containing compound biosynthetic process","BP","root_early_to_late","annual",2,0.5,"Brachypodium= 1.05;Hordeum=-0.03341;Briza=-0.3642;Festuca/Vulpia=0.05588",0.321793789286049
"GO:0030554",0.0628803245436105,0.246490872210953,0.178219874951973,0.633198748585023,1.30552136423871,37,"HOG:0028145;HOG:0025149;HOG:0023048;HOG:0011775;HOG:0011541;HOG:0025848",FALSE,"adenyl nucleotide binding","MF","root_early_to_late","annual",2,0.5,"Brachypodium=0.5561;Hordeum=-0.02525;Briza=-0.01776;Festuca/Vulpia=0.04512",0.365558496923024
"GO:0005524",0.079646017699115,0.257705479452055,0.211400189384923,0.460888914107228,1.36685562124946,32,"HOG:0025149;HOG:0023048;HOG:0025848;HOG:0028145",FALSE,"ATP binding","MF","leaf_early_to_late","annual",1,0.25,"Brachypodium=0.1476;Hordeum=-0.3251;Briza=-0.04737;Festuca/Vulpia=-0.0754",0.430213922374747
"GO:0006629",0.0767520216271381,0.259368900671018,0.287805130535564,0.505282237484353,1.44727222792082,11,"HOG:0021895;HOG:0019459;HOG:0026234;HOG:0027098;HOG:0026770",FALSE,"lipid metabolic process","BP","leaf_mean_activity","annual",3,0.75,"Brachypodium=-0.002381;Hordeum=0.1267;Briza=0.01936;Festuca/Vulpia=0.009873",0.428064120619648
"GO:0043169",0.0536130536130536,0.262295081967213,0.208955027549354,0.585033409000708,1.44327030328944,31,"HOG:0028333;HOG:0025959;HOG:0025149;HOG:0032765;HOG:0006332;HOG:0018459;HOG:0027918;HOG:0024976",FALSE,"cation binding","MF","root_mean_activity","annual",3,0.75,"Brachypodium=0.04174;Hordeum=0.06643;Briza=0.0006109;Festuca/Vulpia=-0.01722",0.331338331338331
"GO:0046872",0.0562060889929742,0.262295081967213,0.204294756516886,0.58788291717013,1.4384982522513,30,"HOG:0028333;HOG:0025959;HOG:0025149;HOG:0032765;HOG:0006332;HOG:0018459;HOG:0027918;HOG:0024976",FALSE,"metal ion binding","MF","root_mean_activity","annual",2,0.5,"Brachypodium=0.04314;Hordeum=0.06799;Briza=-0.001227;Festuca/Vulpia=-0.01777",0.341215726098941
"GO:0006753",0.0903965947603479,0.276839571453565,0.287805130535564,0.489687680825611,1.4026049764629,11,"HOG:0030062;HOG:0006505;HOG:0028766",FALSE,"nucleoside phosphate metabolic process","BP","leaf_mean_activity","annual",3,0.75,"Brachypodium=-0.05589;Hordeum=0.1263;Briza=0.04076;Festuca/Vulpia=0.03616",0.454150398913597
"GO:0055086",0.0903965947603479,0.276839571453565,0.287805130535564,0.489687680825611,1.4026049764629,11,"HOG:0030062;HOG:0006505;HOG:0028766",FALSE,"nucleobase-containing small molecule metabolic process","BP","leaf_mean_activity","annual",3,0.75,"Brachypodium=-0.05589;Hordeum=0.1263;Briza=0.04076;Festuca/Vulpia=0.03616",0.454150398913597
"GO:0072521",0.0903965947603479,0.276839571453565,0.287805130535564,0.489687680825611,1.4026049764629,11,"HOG:0030062;HOG:0006505;HOG:0028766",FALSE,"purine-containing compound metabolic process","BP","leaf_mean_activity","annual",3,0.75,"Brachypodium=-0.05589;Hordeum=0.1263;Briza=0.04076;Festuca/Vulpia=0.03616",0.454150398913597
"GO:0005515",0.0622362869198312,0.277234369006521,0.183023938384487,0.492297926132758,1.33729271781032,69,"HOG:0023048;HOG:0023138;HOG:0025149;HOG:0006131;HOG:0003621;HOG:0005857;HOG:0010551;HOG:0027421;HOG:0032765;HOG:0006332;HOG:0026838;HOG:0011775;HOG:0027918;HOG:0011541;HOG:0024976;HOG:0017319;HOG:0032849",FALSE,"protein binding","MF","root_mean_activity","annual",2,0.5,"Brachypodium=0.05788;Hordeum=0.0417;Briza=-0.01909;Festuca/Vulpia=-0.03514",0.364906776299181
"GO:0010467",0.0809716599190283,0.293897136002399,0.155241966228839,0.626359053864855,1.28826201544342,36,"HOG:0032904;HOG:0027918;HOG:0005683;HOG:0011541;HOG:0025923;HOG:0025959;HOG:0026742;HOG:0032903",FALSE,"gene expression","BP","root_early_to_late","annual",2,0.5,"Brachypodium=1.333;Hordeum=0.07763;Briza=-0.1558;Festuca/Vulpia=-0.1245",0.432073518803845
"GO:0010467",0.108202443280977,0.308896797153025,0.178219874951973,0.425542651817573,1.28822330648365,36,"HOG:0032904;HOG:0032903;HOG:0026742;HOG:0005683;HOG:0025959;HOG:0026637;HOG:0019536;HOG:0024277;HOG:0027918",FALSE,"gene expression","BP","leaf_early_to_late","annual",3,0.75,"Brachypodium=0.06896;Hordeum=0.5262;Briza=0.05143;Festuca/Vulpia=-0.2022",0.491568715832784
