"anchor_id","anchor_hog","feature","interpretation","phylogenetic_pair","annual_species","perennial_species","annual_value","perennial_value","annual_minus_perennial"
"anchor_09","HOG:0029484","anchor_module_mean_strength_ratio","mean threshold-normalized anchor strength over present recurrent HOGs","Briza","BMAX","BMED",0.904791107276999,0.762091989321626,0.142699117955373
"anchor_09","HOG:0029484","anchor_module_mean_strength_ratio","mean threshold-normalized anchor strength over present recurrent HOGs","Festuca/Vulpia","VBRO","FPRA",0.798198723463759,0.97751457056682,-0.179315847103061
"anchor_09","HOG:0029484","internal_edge_density","edge density among anchor-resolved recurrent-HOG copies","Brachypodium","BDIS","BSYL",0.823249299719888,0.688712871287129,0.134536428432759
"anchor_09","HOG:0029484","internal_edge_density","edge density among anchor-resolved recurrent-HOG copies","Hordeum","HVUL","HJUB",0.713317978593687,0.827263779527559,-0.113945800933873
"anchor_09","HOG:0029484","internal_edge_density","edge density among anchor-resolved recurrent-HOG copies","Briza","BMAX","BMED",0.730641076902572,0.86277072442121,-0.132129647518638
"anchor_09","HOG:0029484","internal_edge_density","edge density among anchor-resolved recurrent-HOG copies","Festuca/Vulpia","VBRO","FPRA",0.735643900781515,0.803955586398335,-0.0683116856168191
"anchor_09","HOG:0029484","largest_component_fraction","fraction of resolved HOGs in the largest connected component","Brachypodium","BDIS","BSYL",1,1,0
"anchor_09","HOG:0029484","largest_component_fraction","fraction of resolved HOGs in the largest connected component","Hordeum","HVUL","HJUB",1,1,0
"anchor_09","HOG:0029484","largest_component_fraction","fraction of resolved HOGs in the largest connected component","Briza","BMAX","BMED",1,1,0
"anchor_09","HOG:0029484","largest_component_fraction","fraction of resolved HOGs in the largest connected component","Festuca/Vulpia","VBRO","FPRA",1,1,0
"anchor_10","HOG:0023085","recurrent_coverage","fraction of recurrent HOGs resolved as anchor neighbors","Brachypodium","BDIS","BSYL",0.894366197183099,0.626760563380282,0.267605633802817
"anchor_10","HOG:0023085","recurrent_coverage","fraction of recurrent HOGs resolved as anchor neighbors","Hordeum","HVUL","HJUB",0.774647887323944,0.950704225352113,-0.176056338028169
"anchor_10","HOG:0023085","recurrent_coverage","fraction of recurrent HOGs resolved as anchor neighbors","Briza","BMAX","BMED",0.838028169014085,0.901408450704225,-0.0633802816901409
"anchor_10","HOG:0023085","recurrent_coverage","fraction of recurrent HOGs resolved as anchor neighbors","Festuca/Vulpia","VBRO","FPRA",0.859154929577465,0.936619718309859,-0.0774647887323944
"anchor_10","HOG:0023085","anchor_module_mean_strength_ratio","mean threshold-normalized anchor strength over present recurrent HOGs","Brachypodium","BDIS","BSYL",0.92752119815388,0.644125793065057,0.283395405088823
"anchor_10","HOG:0023085","anchor_module_mean_strength_ratio","mean threshold-normalized anchor strength over present recurrent HOGs","Hordeum","HVUL","HJUB",0.799722147493439,0.983375709312175,-0.183653561818736
"anchor_10","HOG:0023085","anchor_module_mean_strength_ratio","mean threshold-normalized anchor strength over present recurrent HOGs","Briza","BMAX","BMED",0.86308640524868,0.93226368448376,-0.0691772792350801
"anchor_10","HOG:0023085","anchor_module_mean_strength_ratio","mean threshold-normalized anchor strength over present recurrent HOGs","Festuca/Vulpia","VBRO","FPRA",0.883614779483195,0.971926158309344,-0.0883113788261489
"anchor_10","HOG:0023085","internal_edge_density","edge density among anchor-resolved recurrent-HOG copies","Brachypodium","BDIS","BSYL",0.800649918760155,0.76685393258427,0.0337959861758853
"anchor_10","HOG:0023085","internal_edge_density","edge density among anchor-resolved recurrent-HOG copies","Hordeum","HVUL","HJUB",0.825521267723103,0.838032061912659,-0.0125107941895563
"anchor_10","HOG:0023085","internal_edge_density","edge density among anchor-resolved recurrent-HOG copies","Briza","BMAX","BMED",0.758723828514457,0.809055118110236,-0.0503312895957796
"anchor_10","HOG:0023085","internal_edge_density","edge density among anchor-resolved recurrent-HOG copies","Festuca/Vulpia","VBRO","FPRA",0.757214469584067,0.861699703804967,-0.1044852342209
"anchor_10","HOG:0023085","largest_component_fraction","fraction of resolved HOGs in the largest connected component","Brachypodium","BDIS","BSYL",1,1,0
"anchor_10","HOG:0023085","largest_component_fraction","fraction of resolved HOGs in the largest connected component","Hordeum","HVUL","HJUB",1,1,0
"anchor_10","HOG:0023085","largest_component_fraction","fraction of resolved HOGs in the largest connected component","Briza","BMAX","BMED",1,1,0
"anchor_10","HOG:0023085","largest_component_fraction","fraction of resolved HOGs in the largest connected component","Festuca/Vulpia","VBRO","FPRA",1,1,0
