"anchor_id","anchor_hog","species1","species2","neighborhood_jaccard","n_matched_module_edges","n_informative_module_edges","n_shared_present_edges","module_edge_jaccard","matched_edge_correlation","matched_edge_mean_abs_log_threshold_distance","enough_edges_for_correlation"
"anchor_06","HOG:0028766","HJUB","BMAX",0.598039215686274,6903,6423,4742,0.73828429082983,0.29994217347359,0.0143273360410139,TRUE
"anchor_06","HOG:0028766","HJUB","BMED",0.614285714285714,7503,7071,5514,0.779804836656767,0.333114875580679,0.0140521705813084,TRUE
"anchor_06","HOG:0028766","HJUB","VBRO",0.617801047120419,6441,6067,4648,0.766111752101533,0.308260288620936,0.0142139713042873,TRUE
"anchor_06","HOG:0028766","HJUB","FPRA",0.622727272727273,8385,7979,6108,0.765509462338639,0.302623378840073,0.0146849914024838,TRUE
"anchor_06","HOG:0028766","BMAX","BMED",0.691011235955056,6670,6098,4415,0.724007871433257,0.335822891749357,0.0144571452611611,TRUE
"anchor_06","HOG:0028766","BMAX","VBRO",0.622754491017964,5356,4870,3653,0.750102669404517,0.340642439578637,0.0134445014830499,TRUE
"anchor_06","HOG:0028766","BMAX","FPRA",0.678947368421053,7503,6986,4948,0.708273690237618,0.302351793357138,0.0156642128823008,TRUE
"anchor_06","HOG:0028766","BMED","VBRO",0.641618497109827,5778,5373,4038,0.751535455053043,0.375425900341144,0.014112948461994,TRUE
"anchor_06","HOG:0028766","BMED","FPRA",0.668341708542714,7875,7352,5756,0.782916213275299,0.396847630486263,0.0140103472644723,TRUE
"anchor_06","HOG:0028766","VBRO","FPRA",0.606382978723404,6216,5802,4438,0.7649086521889,0.359430586986805,0.0156422831185098,TRUE
"anchor_07","HOG:0011862","BDIS","BSYL",0.521505376344086,4371,3996,2762,0.691191191191191,0.254887530117314,0.0155359118957457,TRUE
"anchor_07","HOG:0011862","BDIS","HVUL",0.596858638743455,6216,5652,4156,0.735314932767162,0.243364010416632,0.0153683297117081,TRUE
"anchor_07","HOG:0011862","BDIS","HJUB",0.649289099526066,8256,7657,5744,0.750163249314353,0.357856975083944,0.0141070480231102,TRUE
"anchor_07","HOG:0011862","BDIS","BMAX",0.602209944751381,5778,5325,4095,0.769014084507042,0.382505654824105,0.0136198381300909,TRUE
"anchor_07","HOG:0011862","BDIS","BMED",0.610526315789474,6441,6040,4610,0.763245033112583,0.365298297606791,0.0145297836742484,TRUE
"anchor_07","HOG:0011862","BDIS","VBRO",0.634408602150538,6786,6208,4376,0.704896907216495,0.276234684318269,0.0151914959381858,TRUE
"anchor_07","HOG:0011862","BDIS","FPRA",0.665071770334928,8515,7923,5852,0.738609112709832,0.343083397987578,0.0151192199634709,TRUE
"anchor_07","HOG:0011862","BSYL","HVUL",0.502958579881657,3321,3085,2169,0.703079416531605,0.224976896958114,0.0145240443811168,TRUE
"anchor_07","HOG:0011862","BSYL","HJUB",0.47029702970297,4095,3838,2758,0.718603439291298,0.225751588285822,0.0154117421215955,TRUE
"anchor_07","HOG:0011862","BSYL","BMAX",0.475308641975309,2926,2723,1976,0.725670216672787,0.222292506399134,0.0150659821883998,TRUE
